序号,单词,日期,,,,,,,,,,中文释义
1,passionné,2019/2/10,,,,,,,,,,热情的
2,mime,,,,,,,,,,,哑剧演员
3,improvisation,,,,,,,,,,,即兴表演
4,évoluer,,,,,,,,,,,进化
5,talent,,,,,,,,,,,人才
6,exprimer,,,,,,,,,,,挤出
7,avis,,,,,,,,,,,意见
8,communication,,,,,,,,,,,交流，往来
9,inclure,2019/2/11,,,,,,,,,,包含
10,p?le,,,,,,,,,,,苍白的
11,ceinture,,,,,,,,,,,腰带
12,bout,,,,,,,,,,,末端
13,frémir,,,,,,,,,,,颤动
14,appuyer,,,,,,,,,,,支撑
15,serrer,,,,,,,,,,,紧抱
16,aborder,,,,,,,,,,,靠岸
17,degrés,,,,,,,,,,,等级
18,p?le,,,,,,,,,,,极地
19,antarctique,,,,,,,,,,,南极的
20,tronc,,,,,,,,,,,树干
21,navire,,,,,,,,,,,军舰
22,ancrer,,,,,,,,,,,抛锚
23,aussit?t,,,,,,,,,,,立刻
24,roi,,,,,,,,,,,王
25,éloignée,,,,,,,,,,,疏远
26,précédent,,1,,0,,,,,,,上述的
27,quoique,,3,1,0,,,,,,,尽管
28,inhabité,,,,,,,,,,,无人居住的
29,gibier,,,,,,,,,,,猎物
30,ayant,,,,,,,,,,,同
31,séjourner,,,,,,,,,,,居住
32,Hollandais,,,,,,,,,,,荷兰的
33,ledit,,,,,,,,,,,说
34,hutté,,,,,,,,,,,茅屋
35,voile,,,,,,,,,,,头巾
36,matelot,,,,,,,,,,,水手
37,canot,,,,,,,,,,,小船
38,atterrir,,,,,,,,,,,着陆
39,vaseux,2019/2/12,,,,,,,,,,无力的
40,récif,,,,,,,,,,,暗礁
41,mile,,,,,,,,,,,英里
42,constater,,,,,,,,,,,观察到，验证
43,absente,,,,,,,,,,,缺席
44,patron,,,,,,,,,,,老板
45,lieutenant,,,,,,,,,,,副手
46,débarquer,,4,,,,,,,,,着陆
47,possession,,,,,,,,,,,支配
48,baptisé,,4,1,0,,,,,,,给...起名
49,proposer,,,,,,,,,,,建议
50,peupler,,,,,,,,,,,向...移民
51,oie,,,,,,,,,,,鹅
52,extrémité,,,,,,,,,,,顶端
53,plumage,,,,,,,,,,,一身羽毛
54,approchant,,,,,,,,,,,大约
55,autruche,,,,,,,,,,,鸵鸟
56,bécasse,,,,,,,,,,,鹬
57,réunion,,,,,,,,,,,会议
58,département,,,,,,,,,,,部
59,occupant,,,,,,,,,,,占有者
60,métropolitaine,,,,,,,,,,,首都的
61,ancêtre,,,,,,,,,,,鼻祖
62,malgache,,,,,,,,,,,马达加斯加的
63,métissage,,,,,,,,,,,杂交
64,communauté,,,,,,,,,,,社团
65,culinaire,,,,,,,,,,,烹饪的
66,esclave,,,,,,,,,,,奴隶
67,naissance,,,,,,,,,,,诞生
68,succéssive,,,,,,,,,,,相继的
69,natalité,,,,,,,,,,,出生率
70,immigration,13-02-2019,,,,,,,,,,移民
71,abolition,,4,4,1,,,,,,,取消
72,clavage,,,,,,,,,,,奴隶制度
73,contrat,,,,,,,,,,,合同
74,originaire,,,,,,,,,,,原产
75,musulman,,,,,,,,,,,伊斯兰教的
76,fonctionnaire,,,,,,,,,,,官员
77,inégalement,,,,,,,,,,,不平等
78,commun,,,,,,,,,,,共有的
